DOI,Sentence
10.1371_journal.pone.0160706,"The survey forms were scanned using an optical character recognizing (OCR) machine and data were analyzed using STATA 10.1 for Windows (Stata Corp, College Station, TX, USA) software."
10.1371_journal.pone.0150537,Data was analyzed using Microsoft Excel and Statistical Package for Social Sciences (SPSS) version 16.
10.1371_journal.pone.0109004,Analysis of local scale data across all crime types and the two counties (Nottinghamshire and Derbyshire) was done using general regression analysis applied to the log transformed mean and variance values with categorical variables using commercially available software (Minitab version 16.2; Minitab Inc.).
10.1371_journal.pone.0187750,"Analyses were done using SPSS20 and SAS 9.4, the cut-off for statistical significance was set at p < .05."
10.1371_journal.pone.0191646,All statistical analyses of this study were performed using SAS version 9.3 and STATA IC/SE 14.
10.1371_journal.pbio.1001940,"The Matlab Regstats function was used to calculate the residual DBM effect size and dominance after controlling for confounding effects of age, weight, sex, and number of structural scans that had contributed to the average MRI scan used for each individual."
10.1371_journal.pone.0186992,"The statistical analysis was done with Stata 14.1 (Stata Corp LP, College station, Texas)."
10.1371_journal.pone.0191496,"All statistical analyses were performed with the aid of SPSS software version 22.0 (IBM Co., Armonk, NY, USA)."
10.1371_journal.pone.0018905,"For the clusters showing a significant interaction, the “absolute GM content” (i.e., the sum of all voxel values of the cluster) and the “relative GM content” (i.e., the sum of all voxel values divided by the global GM) were further analyzed for the ASD and TDC using standard statistics software (SPSS, version 14.0.1)"
10.1371_journal.pone.0183455,"Survey data from both SA and NZ (n = 4,842) were downloaded from SurveyMonkey [49] and initial data screening was conducted in Microsoft Excel."
10.1371_journal.pone.0185968,"The x-y coordinates of the individual positions were extracted using the Ctrax software (Caltech Multiple Fly Tracker; version 0.3.12) and the associated FixErrors toolbox for MATLAB (v. 7.10.0 2010; MathWorks, Inc., Natick, MA, USA [34–35]; MATLAB v. 7.10.0)."
10.1371_journal.pone.0152990,"All the other analyses were performed with SPSS version 17.0 (SPSS Inc., Chicago, IL, USA)."
10.1371_journal.pone.0185578,"For the purposes of the analysis, the dataset was partitioned by discipline and a Correspondence Analysis (CA) [41–43] was applied to these subsets following the procedure described in Díaz-Faes and Bordons [25] and using a MATLAB program [44]."
10.1371_journal.pone.0034922,All analyses were performed using SPSS 19 (IBM SPSS Statistics 19.0.0).
10.1371_journal.pone.0101939,"All analyses were conducted using the statistical software SPSS, Version 20 (IBM Statistics)."
10.1371_journal.pone.0192764,Robust standard errors were utilized to estimate relative risks (RR) and 95%CI as well as the population attributable fraction using the punaf command in STATA [22].
10.1371_journal.pone.0102820,An adapted version of Probability Weighted Iterative Generalised Least Squares technique was used for the WAACHS data to account for the complex survey design of children within families within communities using SAS software [33].
10.1371_journal.pone.0012135,"All analyses were performed using STATA/SE 10.1 (StataCorp, College Station, TX, USA)."
10.1371_journal.pone.0197351,"Descriptive and regression analyses were performed by using STATA statistical software v.14.1 (STATA Corp., College Station, TX, USA)."
10.1371_journal.pone.0177725,S2 File is the Stata script that can be used to replicate all descriptive statistics reported below as well as the model estimates described in the main text and in the supplementary information.
10.1371_journal.pone.0120878,"We used a Matlab implementation of the SPIKE-dist measure (http://wwwold.fi.isc.cnr.it/users/thomas.kreuz/sourcecode.html), with a temporal resolution of 1ms, to analyze our data."
10.1371_journal.pone.0079777,We further BLAST searched this transcriptome for sequences with homology to the viruses genomes derived from our transcriptome data.
10.1371_journal.pone.0176385,The analyses were performed using SAS v. 9.3.
10.1371_journal.pone.0167253,"Data were analysed with SPSS version 21, using the mixed models analysis of variance procedure."
10.1371_journal.pone.0147923,"Median values were compared using K-sample tests, and reductions in financial imbalances were examined over time by calculating maximum/minimum ratios.All analyses were performed using Stata 13.1 software [30]."
10.1371_journal.pone.0164942,Analyses were made using Mplus 7.1 software [28] and IBM SPSS Statistics 22.0.
10.1371_journal.pone.0049356,"We performed all analyses using the Statistical Package for the Social Sciences version 18.0 (SPSS Inc, Chicago, IL, USA)."
10.1371_journal.pone.0185859,All statistical analyses were conducted with SPSS (v. 20.0.0.2) and R (v. 3.1.3).
10.1371_journal.pone.0085809,"Data were analyzed with SPSS (version 19, SPSS Inc., Chicago, Illinois) and NCSS 2007 (Number Cruncher Statistical Systems, Utah, USA) statistical software packages."
10.1371_journal.pone.0110271,"After preliminary exploration to identify causes of death for which there were positive, statistically significant zero-order correlations with county levels of infant mortality across all race-gender groups (not shown), we performed principal components analyses with an orthogonal rotation per SAS PROC Factor."
10.1371_journal.pone.0090556,All data analyses were performed in SPSS (v.19) unless otherwise stated.
10.1371_journal.pone.0042889,"All statistical analyses were performed using SPSS 15.0.1 for Windows (SPSS Inc., Chicago, IL, USA, 2006)."
10.1371_journal.pone.0148337,All analyses were performed using SAS SURVEY procedures available in SAS version 9.04 software.
10.1371_journal.pone.0199138,"All analyses were performed with SPSS for Windows (SPSS, version 23; Chicago, IL, USA), and p values < 0.05 (two-way) were considered to indicate statistical significance."
10.1371_journal.pone.0133545,"Analyses were performed using Stata, version 13 (StataCorp LP, TX)."
10.1371_journal.pone.0057380,One-way ANOVAs were used to test combined drug treatment and prenatal exposure effects on oxygen consumption and CO2 production (GraphPad Prism 5.0 d).
10.1371_journal.pone.0205740,"Data were analyzed in Microsoft Excel 10.0 (Microsoft, Redmond, WA) and STATA/IC 12.1 (Stata Corp, College Station, TX)."
10.1371_journal.pone.0176539,"Therefore, only the sex and month impacts were next compared, using two-way ANOVA and Tukey’s test (SAS Institute Version 9.13., 2002–2003 license 86636)."
10.1371_journal.pone.0098977,Behavioral data were analyzed with SPSS/PASW 18.
10.1371_journal.pone.0102820,An adapted version of Probability Weighted Iterative Generalised Least Squares technique was used for the WAACHS data to account for the complex survey design of children within families within communities using SAS software [33].
10.1371_journal.pone.0182200,"We accessed the data using the visualization and data analytics software Tableau, and prepared data for analyses in both Tableau and Excel (Tableau 9.0, Tableau Software Inc.; Excel 14.4.2, Microsoft Corporation 2010)."
10.1371_journal.pone.0151078,"All analyses were conducted using the STATA® package (Version 12, College Station, TX)."
10.1371_journal.pone.0124258,"When analysing predictors of symptomatic improvement during the course of treatment, a longitudinal multilevel framework was applied using the linear mixed-effects models procedure in SPSS version 21."
10.1371_journal.pone.0160378,Information from completed abstraction forms were entered into an Access database and imported into SAS for analysis.
10.1371_journal.pone.0177629,We used the cp_apr function in the Matlab Tensor Toolbox [18].
10.1371_journal.pone.0133693,"The analyses were conducted by using the PROCESS macro written by Andrew F. Hayes [38], which can be implemented in SPSS, and it is based on an ordinary least squares regression."
10.1371_journal.pone.0137656,"Statistical analyses were performed using SPSS (version 17.0; SPSS Japan Inc., Tokyo, Japan)."
10.1371_journal.pone.0037397,All results reported are two-tailed and were performed with SPSS version 16.0.
10.1371_journal.pmed.1002427,All analyses were conducted using Stata version 14.
10.1371_journal.pbio.1001820,Statistical analysis was performed using GraphPad Prism (version 4.0) and SPSS (version 20).
10.1371_journal.pone.0015429,"Manual annotations of social/sexual interactions and wheel running activity were done manually using the Caltech Behavior Annotator program, a software tool created in MATLAB designed to facilitate the rapid manual annotation of video sequences."
10.1371_journal.pone.0145638,Data are presented as (Mean ± SEM) and were analysed with IBM SPSS 22.0 software.
10.1371_journal.pone.0188537,"Analysis were conducted using SPSS vs. 20.0 (IBM Corp., released 2011, Armonk, NY) and GraphPad Prism 7.0 software (GraphPad Software, Inc., San Diego, CA)."
10.1371_journal.pone.0007758,"Statistical models were run using Proc Genmod in SAS v9.1.2 (Cary, North Carolina)."
10.1371_journal.pone.0200519,"All the statistical analyses were performed using SAS (Version 9.3, SAS Institute, Cary, NC, USA)."
10.1371_journal.pone.0081661,"To identify known miRNAs, we aligned all the small RNA reads to mature miRNAs and miRNA hairpins in miRBase13.0 with blast using an E-value threshold of 0.01."
10.1371_journal.pone.0020989,"To create the actual movie files, in house made scripts were used, created with Matlab software (MathWorks, Massachusetts, U.S.A.)."
10.1371_journal.pone.0192771,"All analyses were performed in Stata 14.0 (College Station, TX USA)."
10.1371_journal.pone.0157909,For metric variables the mean was computed and univariate analysis of covariance (oneway ANOVA in SPSS) was applied.
10.1371_journal.pone.0194444,"Data were pre-processed and analysed using SPM8 (Wellcome Department of Cognitive Neurology, London UK) (http://www.fil.ion.ucl.ac.uk/spm) running on MATLAB 2007b (Mathworks Inc., Natick, MA)."
10.1371_journal.pone.0135809,"All of the data were inputted using the software SPSS 20.0 for statistical analysis, and the statistical significance was set at p<0.05."
10.1371_journal.pone.0143203,"Recorded songs were filtered at 0.3–8 kHz for analysis using software in the Matlab Programming language (The MathWorks, Natick, MA)."
10.1371_journal.pgen.1004356,Intensity tables were exported to excel and (ΔF−F)/F calculated for each series of images.
10.1371_journal.pone.0086193,"Statistical analyses were performed using SPSS 20.0.0, except McNemar tests that were performed in R 3.0.0 [44]."
10.1371_journal.pone.0190117,"Apart from Microsoft Excel [20] used to manage qualitative data, the statistical software Stata version 12 [21] was used to generate Table 1."
10.1371_journal.pone.0182663,"The tool is built in MS Excel 2010 and consists of two modules: i) HPV vaccination, and ii) cervical cancer screening and treatment [15]."
10.1371_journal.pone.0125808,All statistical tests were done with SPSS (v. 22).
10.1371_journal.pone.0015118,All analyses were carried out in R (version 2.8.0) and Matlab (version 2009b).
10.1371_journal.pone.0040529,Data from the surveys were double-entered and analyzed using SPSS ver.
10.1371_journal.pone.0028904,The SAS software was used for data analyses [70].
10.1371_journal.pone.0157108,SPSS 22 was used for analyses.
10.1371_journal.pgen.1006498,"[72], probes not rated as “perfect” (50 out of 50 nucleotides match the reference genome) or “good” (48 to 49 out of 50 matches to the genome) were removed; so were probes that mapped to more than one genomic location according to BLAST queries[73] and probes that included a SNP (NCBI dbSNP Build 137); finally, only probes detected in at least 5% of the mice at a 0.95 detection level (as per GenomeStudio) were retained."
10.1371_journal.pone.0157328,All analyses were conducted in SAS version 9.3.
10.1371_journal.pone.0183386,Mean changes across the follow-up time points were analyzed using descriptive statistics in SPSS [34].
10.1371_journal.pone.0160360,All statistical analyses were performed with the Mplus statistical package version 7.3 and IBM SPSS version 22.
10.1371_journal.pone.0003755,"All analyses were performed using SAS/STAT® software version 9.1 (SAS Institute Inc., Cary, NC), Statistical Package for the Social Sciences® for Windows® (SPSS® version 14.1, SPSS Inc., Chicago, IL), and RevMan version 4.1 (Cochrane Collaboration, Oxford, UK)."
10.1371_journal.pone.0155828,"All statistical analyses were performed using the SAS software version 9.4 (SAS Institute, Cary, NC, USA)."
10.1371_journal.pone.0175117,Data were analyzed using version 17.0 version of SPSS software.
10.1371_journal.pone.0153941,"For each participant, mean amplitudes of the components of interest (see above) were exported and read into SPSS (version 21, IBM)."
10.1371_journal.pone.0162294,"The analyses were performed with the SPSS statistical programme, version 20.0 (S1 Dataset)."
10.1371_journal.pone.0125605,"from 8 to 10 noise blast level) while the others simulated non-punishing (normative, i.e."
10.1371_journal.pone.0069684,"The photographs were grayscaled and cropped to squares, their background was removed, and the luminance and contrast of the faces were equalized across conditions using in-house MATLAB code (MathWorks, Natick, MA)."
10.1371_journal.pone.0121454,"All datasets were available online, MtF as SPSS datafiles [30] and AF as data tables [31]."
10.1371_journal.pone.0197024,"As the name already indicates, the random effects model has the limiting assumption that the unobserved heterogeneity is randomly distributed, and therefore independent from the regressors (we have used the XTNBREG, FE command in Stata 8 to estimate our fixed effects model, and the XTNBREG, RE command in Stata 8 to estimate our random effects model)."
10.1371_journal.pone.0097244,"From the csv-files, several song and syllable parameters were calculated using a custom-written Matlab routine (by SvM)."
10.1371_journal.pone.0183799,"The experiment was programmed with the Experiment Builder Software (version 1.10.1630; SR Research Ltd., Ottawa, Canada) and data processing and analysis was performed using the open-source statistical programming language R (www.r-project.org) and Matlab® R2011b (Mathworks, Inc., Natick, MA, USA)."
10.1371_journal.pone.0119862,"Overlapping voxels of activity resulting from these two conditions within the MNS mask were counted per participant using a custom code written in MATLAB, and then compared between groups using an independent sample t-test."
10.1371_journal.pone.0148334,"To complement analysis of weighted positional scores, we used the coordinate data imported into MATLAB to construct a bar graph."
10.1371_journal.pone.0045736,"All statistical analyses were carried out by using PASW Statistics 18 (SPSS Inc., Chicago, IL)."
10.1371_journal.pone.0168104,"Data analyses were conducted with IBM SPSS statistics, version 20."
10.1371_journal.pone.0105141,"All HB analyses used WinBugs 1.4, available from (http://www.mrc-bsu.cam.ac.uk/bugs/), and the R2WinBUGS package version 2.1–16."
10.1371_journal.pone.0108355,"Data analyses were conducted using the SAS software version 9.1 (SAS, 2004) and SUDAAN (Research Triangle Institute, 2004)."
10.1371_journal.pone.0094778,"Statistical analyses were performed in SPSS, version 20."
10.1371_journal.pone.0194731,The data were manually entered into a database and analysed using the Statistical Package for the Social Sciences software (IBM SPSS Statistics 18).
10.1371_journal.pone.0165624,"Indicators for psychosocial well-being included assessments of depression (Shorten version of Center for Epidemiological Studies Depression Scale for Children [CESD-10] with 10 item; α = 0.76), anxiety (Zung Self-Rating Anxiety Scale [SAS] with 20 items; α = 0.91), HIV management related self-esteem (α = 0.94), resilience (The 10-item Connor-Davidson Resilience Scale with 10 items; α = 0.96), social support (The Multidimensional Scale of Perceived Social Support [MSPSS], and The Medical Outcomes Study Social Support Survey [MOS-SSS-C] with 28 items; α = 0.98), and coping skills (Family Coping Project Coping Scale [FCPCS] with 25 items; α = 0.93)."
10.1371_journal.pone.0152245,Average time spent on each odor source during a trial and number of visits to rosemary and eucalyptus before and after training was compared using paired Student’s T-tests in SPSS.
10.1371_journal.pone.0104214,We used general linear models to determine if colony and patriline have a significant effect on the antimicrobial activity of a worker’s hemolymph using the GLM procedure in SAS Ver.
10.1371_journal.pone.0132168,All data analyses were computed using SPSS 13.0 and AMOS 17.0.
10.1371_journal.pone.0166154,"Finally, the traces were filtered with a loess filter (time window: 0.5 sec) using the ‘‘smooth()” function of Matlab, version R2013b."
10.1371_journal.pone.0088929,"To analyze associations between individual and environmental variables and walking for transportation, we estimated several multilevel logit ordinal regression models using the Dual Quasi-Newton optimization estimation approach of Proc Glimmix in SAS 9.3 (SAS Institute Inc., Cary, North Carolina)."
10.1371_journal.pone.0181955,The IBM SPSS Statistics version 24 was utilized for the statistical analysis.
10.1371_journal.pone.0207691,The data were analyzed using a mixed logistic regression model using PROC GLIMMIX in SAS 9.2 with Audience ID as a nested random effect within the random effect for Session.
10.1371_journal.pone.0093298,"To analyze time in mission effects, mixed model ANOVAs (Proc Mixed, SAS Version 9.3, SAS Institute Inc., Cary, NC) with a random intercept for crewmembers and unstructured covariance were performed with mission quarter (MQ) as the only explanatory variable (MQ1, days 1–130; MQ2, days 131–260; MQ3, days 261–390; MQ4, days 391–520) and with the scores from the mood scales (BDI-II and POMS-SF) and visual analog scales as outcome variables."
10.1371_journal.pone.0192764,"Information was double entered using Microsoft Excel for Windows, and then transferred to STATA version 12 (STATA Corp, College Station, TX, US) for analysis."
10.1371_journal.pone.0026761,All statistical tests were performed with GraphPad Prism® 4.
10.1371_journal.pone.0165343,"All images were acquired through the Matlab Image Acquisition Toolbox (Mathworks, Matlab v2011b) at 2 frames/s (500 ms exposure) at 360x260 pixel (px) resolutions (using 4x4 hardware binning)."
10.1371_journal.pone.0068444,"Statistical analyses were computed using SPSS version 19.0.1 (IBM, Somers, NY) and the plot was generated using Prism version 5.0d (GraphPad, La Jolla, CA)."
10.1371_journal.pone.0136027,"Preprocessing and statistical analysis of the fMRI data was performed with SPM8 (Wellcome Department of Cognitive Neurology, London UK) software for MATLAB (Version R2010a, The MathWorks Inc., Natick, MA)."
10.1371_journal.pone.0047335,Wilcoxon rank-sum tests were undertaken in Stata 11.
10.1371_journal.pone.0023236,"Statistical tests were carried out using SPSS 16.0 (SPSS Inc., Chicago, IL) for Windows."
10.1371_journal.pone.0097887,"Subsequently, we used a Butterworth filter in Matlab on the two time series of the positions, with a cut-off frequency of 4 Hz."
10.1371_journal.pone.0056105,"Analyses were performed using SPSS version 17.0 (Chicago, IL)."
10.1371_journal.pbio.2006328,"Then, we calculated separate linear mixed effects models for each of the six windows using the fitlme function in MATLAB."
10.1371_journal.pone.0056945,"All analyses were performed using the Statistical Package for Social Sciences software program, version 16 (SPSS, Inc., Chicago, IL, USA)."
10.1371_journal.pone.0093253,"All of the analyses were performed using SAS (SAS Institute Inc., USA)."
10.1371_journal.pone.0199877,"Data were analysed using STATA 12.0 (Stata Corp, College Station, TX, USA)."
10.1371_journal.pone.0090779,"The word ‘hello’ was extracted from each recording, and normalised for power (RMS) and loudness via Matlab (the Mathworks)."
10.1371_journal.pone.0150830,We built a generalized linear mixed model (GLMM) using the GLIMMIX procedure [43] in SAS v9.3 to identify factors associated with the occurrence of groups.
10.1371_journal.pone.0081237,For the permutation test we used Matlab v. 7.10.0.499.
10.1371_journal.pone.0048975,"All statistical analyses were carried out using GraphPad Prism version 5.04 for Windows, GraphPad Software, San Diego, CA, www.graphpad.com."
10.1371_journal.pone.0094767,"From week 12 to 16 pregnant ewes had free access to salt blocks (TIMAC SAS, St Malo, France) after which time blocks were substituted by a cube containing vitamin-mineral corrector (INAFORM, Timac Agro, Orcoyen, Spain)."
10.1371_journal.pone.0129040,"For analysing genotype effects in the purebred and intercross chickens, we used Generalized Linear Models (SPSS v. 22.0)."
10.1371_journal.pone.0161108,"Data were entered, cleaned and analyzed using SPSS version 16."
10.1371_journal.pone.0184525,"Statistical analyses were conducted using SPSS 23 (IBM Corp., Armonk, N.Y., USA)."
10.1371_journal.pone.0146382,All statistical analyses were performed using IBM SPSS Statistics v.22.
10.1371_journal.pone.0005987,"For the pre-processing and statistical analyses, the statistical parametric mapping software package (SPM5, Wellcome Department of Cognitive Neurology, London; www.fil.ion.ucl.ac.uk/spm) was used and implemented in Matlab (Mathworks, Inc., Natick, MA, USA release 14)."
10.1371_journal.pone.0033028,"All data was analyzed using SPSS 14.0J (SPSS Inc., Chicago, IL) statistical package."
10.1371_journal.pone.0097299,"All data analysis was performed offline in MATLAB environment (version R2010a, The MathWorks, Natick, MA) in a way that will allow later straightforward automatization of the analytic procedure."
10.1371_journal.pone.0023105,"Non-parametric tests were applied using SPSS 17.0 (SPSS Inc.), with the level of significance set at alpha = 0.05."
10.1371_journal.pone.0188962,Analyses were conducted in Stata 12.
10.1371_journal.pone.0013531,"The results of E-β-ocimene influence on honey bee behavioural development were analysed with a two-ways ANOVA (years and treatments) followed by Fisher post-hoc test (STATVIEW 5.0, SAS Institute, Cary, NC)."
10.1371_journal.pone.0196729,Statistical analyses were carried out using Stata 14.1.
10.1371_journal.pone.0147654,The IBM Statistical Package for the Social Sciences (SPSS-22) software was used to analyze the quantitative data.
10.1371_journal.pone.0053246,All regression analyses were performed using SPSS Statistics 19 [37] with a significance level at 0.05 and 95 percent confidence intervals.
10.1371_journal.pone.0191405,"All analyses were performed using R version 3.2.4 (Vienna, Austria) and STATA version 14 (College Station, Texas)."
10.1371_journal.pone.0158332,We conducted the analysis in STATA (version 13.1).
10.1371_journal.pone.0049714,"The data was analyzed using SPSS® version 17.0 (SPSS Inc., Chicago, IL, USA) for Windows®."
10.1371_journal.pone.0053114,"Statistical analysis was conducted using StatView (SAS Institute, Cary, NC)."
10.1371_journal.pone.0086127,"As there was a group difference for BPVS and SAS scores (see Table 2), all analyses include these scores as covariates to partial out the variance attributed them."
10.1371_journal.pone.0095146,"Conventional statistical analysis was performed on the mean whole brain SampEn and H values of each subject in both groups using the Statistical Package for Social Sciences (SPSS 18.0; Chicago, IL, USA) software."
10.1371_journal.pone.0211470,"All analyses were performed in Stata version 13.1 (Stata Corp, Texas, USA)."
10.1371_journal.pone.0145673,"Statistical analyses were conducted using SAS software, version 9.3 (PROC GENMOD, with options REPEATED, CORR = IND, DIST = BINOMIAL, LINK = LOGIT; SAS Institute, Inc., Cary, NC), and a P < 0.05 was considered statistically significant."
10.1371_journal.pone.0206889,These time series were subsequently decomposed into two components using non-negative matrix factorization [39] (as implemented in MATLAB R2016b [38]).
10.1371_journal.pone.0175713,"Data were analyzed using GraphPad Prism version 6.0f for Mac OS X, (GraphPad Software, La Jolla California USA, www.graphpad.com)."
10.1371_journal.pone.0132340,These final effect sizes and their standard errors were then input to STATA together with relevant study information for the subgroup analysis.
10.1371_journal.pone.0203543,"Then, we conducted one-way analyses of variance (ANOVA) with Dunnett’s test or T3 tests using SPSS 12 for Windows® (SPSS, Chicago, IL, USA) to determine significant differences between the control and VPA exposure groups."
10.1371_journal.pone.0109392,"All statistical analyses that include independent samples t-tests, Cohen's effect size value, Pearson correlations, one-way analysis of variance (ANOVA) and 3*2 mixed-design, ANOVA were performed on the Software Package for Statistical Analysis (SPSS for Windows version 19.0), [24]."
10.1371_journal.pone.0173342,"[27] STATA 13.0 was used for analysis in 2015, using the svy suite, given the sample design."
10.1371_journal.pone.0175923,All data were analyzed with SPSS version 21.0 [34].
10.1371_journal.pone.0143749,The univariate logistic regression analysis procedure in the complex samples add-on module in SPSS was used to test the differences between the male and female subjects on HIV stigma discrimination against PLWHA.
10.1371_journal.pone.0155313,The data were prepared for analysis using Stata v13 [48] and the structural equation models were estimated using Mplus v7 [46].
10.1371_journal.pone.0200313,The statistical software IBM SPSS Statistics version 22 [39] and R [40] were used for the statistical analyses.
10.1371_journal.pone.0102880,"All analyses (except repeatability calculations) were run using JMP 9 (SAS Institute, Cary, NC) and we analyzed residuals to assess violation of ANOVA assumptions."
10.1371_journal.pone.0047653,All the statistical analyses were carried out with IBM SPSS Statistics 19.
